node_id,node_name,model,skill,source_url,list_page_url,detail_url,supplier_profile_url,company_name,brand,vehicle_model,main_products,fit_export,quality_system,region,contact_action,website,address,company_intro,fit_situation,export_situation,certificates,company_type,org_code,established_date,registered_capital,employees_count,legal_representative,news_summary,status,error_message
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160-con-45/index-2.html,http://i.gasgoo.com/supplier/35252920/,http://i.gasgoo.com/supplier/35252920/,http://i.gasgoo.com/supplier/35252920/,,,,,,,,,,,,,,,,,,,,,,failed,未识别到供应商详情信息（已尝试 1 个URL变体）；原因：http://i.gasgoo.com/supplier/35252920/ -> 详情页解析为空
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160-con-45/index-2.html,http://i.gasgoo.com/supplier/35318054/,http://i.gasgoo.com/supplier/35318054/,http://i.gasgoo.com/supplier/35318054/,,,,,,,,,,,,,,,,,,,,,,failed,未识别到供应商详情信息（已尝试 1 个URL变体）；原因：http://i.gasgoo.com/supplier/35318054/ -> 详情页解析为空
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160-con-45/index-2.html,http://i.gasgoo.com/supplier/103781/,http://i.gasgoo.com/supplier/103781/,http://i.gasgoo.com/supplier/103781/,,,,,,,,,,,,,,,,,,,,,,failed,未识别到供应商详情信息（已尝试 1 个URL变体）；原因：http://i.gasgoo.com/supplier/103781/ -> 详情页解析为空
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160-con-45/index-2.html,http://i.gasgoo.com/supplier/35212164/,http://i.gasgoo.com/supplier/35212164/,http://i.gasgoo.com/supplier/35212164/,,,,,,,,,,,,,,,,,,,,,,failed,未识别到供应商详情信息（已尝试 1 个URL变体）；原因：http://i.gasgoo.com/supplier/35212164/ -> 详情页解析为空
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160-con-45/index-2.html,http://i.gasgoo.com/supplier/35315084/,https://i.gasgoo.com/supplier/35315084/,https://i.gasgoo.com/supplier/35315084/,楚能新能源股份有限公司,,,动力电池；石墨负极；电化学储能电池及系统；材料；电芯；系统,-,"ISO9001, ISO14001",,,-,,楚能新能源股份有限公司是专注于新能源储能电池、动力电池、能源管理系统的研发、生产、销售、服务于一体的新能源创新科技企业，致力于为全球新能源用户提供一流的整体式解决方案和服务。 楚能新能源股份有限公司围绕电化学储能、乘用车、商用车等商业应用领域，推进材料创新、结构创新、制造技术创新、商业模式创新，做到“生产一代、储备一代、研发一代”，形成技术领先、大规模、高效率的优势及全产业链覆盖能力，为用户提供全场景、多维度的锂离子电池及电池系统等解决方案，为全球新能源产业的快速发展贡献力量。 楚能新能源坚持“科技创新·绿色能源”的经营理念，定位高端智能制造，全面开拓锂离子电池新能源上下游产业链，经营业务面向全球储能电池、动力电池市场，助力实现“双碳”目标，推动世界绿色能源转型发展。,,-,,,91420115MA4F1QLQ0M,2021-08-06,400000万人民币,100,代德明,,success,
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160-con-45/index-2.html,http://i.gasgoo.com/supplier/35316755/,https://i.gasgoo.com/supplier/35316755/,https://i.gasgoo.com/supplier/35316755/,惠州亿纬集能有限公司,,,电芯；电芯耳极；正极材料,-,-,,,-,,"惠州亿纬集能有限公司,成立于2018-06-20,注册资本为415355.6863万元人民币,法定代表人为刘金成,经营状态为存续,统一社会信用代码为91441300MA51W6K13R,注册地址为惠州仲恺高新区40号小区,经营范围包括汽车用锂离子软包电池（固态锂电池及金属锂电池除外）及汽车用锂离子软包电池模组（固态锂电池及金属锂电池除外）的生产、加工、销售、研发、售后服务和储能电池的生产、加工、销售、研发、售后服务，汽车用锂离子软包电池材料的加工、销售、研发，国内贸易，货物或技术进出口，厂房及设备租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）",,-,,,91441300MA51W6K13R,2018-06-20,415355.69万人民币,1000,刘金成,,success,
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160.html,http://i.gasgoo.com/supplier/35275280/,https://i.gasgoo.com/supplier/35275280/,https://i.gasgoo.com/supplier/35275280/,保力新能源科技股份有限公司,,,32700电芯及电池组；电池总成,-,ISO9001,,,-,,保力新能源科技股份有限公司成立于2005年，是国内新能源上市公司，股票代码：300116，一直专注于磷酸铁锂电池技术的创新研发和生产，注册资金：42.81亿元，是 国家级“高新技术企业” 。主要生产磷酸铁锂系列锂电池、电池管理系统（BMS）、动力电池及储能电池组。产品广泛应用于电动车、混合动力的各类车型以及新能源船舶、储能等领域。目前投入量产的内蒙古,,-,,,91610000773821038P,2005-04-30,428108.27万人民币,463人,高保清,,success,
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160.html,http://i.gasgoo.com/supplier/35284745/,https://i.gasgoo.com/supplier/35284745/,https://i.gasgoo.com/supplier/35284745/,中创新航新能源（厦门）有限公司,,,锂电池；电池模组；电池总成；电芯,-,"IATF 16949, ISO9001, ISO14001",厦门市,,-,,中创新航新能源（厦门）有限公司简介：中航锂电（厦门）科技有限公司成立于2019-07-15，法定代表人为刘静瑜，注册资本为500000万元人民币，统一社会信用代码为91350200MA331PCN36，企业地址位于厦门火炬高新区(翔安)产业园民安大道6666号，所属行业为零售业，经营范围包含：锂离子电池制造；动力电池制造；其他未列明电池制造；汽车租赁（不含营运）；汽车零配件零售；电动汽车充电设施建设运营；工程和技术研究和试验发展；道路货物运输（不含危险货物运输）；经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外。中航锂电（厦门）科技有限公司目前的经营状态为存续（在营、开业、在册）。,,-,,,91350200MA331PCN36,2019-07-15,500000万人民币,500,汪建昆,,success,
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160.html,http://i.gasgoo.com/supplier/35280189/,https://i.gasgoo.com/supplier/35280189/,https://i.gasgoo.com/supplier/35280189/,松下能源（无锡）有限公司,,,镍氢碱蓄电池；锂离子二次电池；锂离子组合电；无汞二次电池,有；-；-,"IATF 16949, ISO9001, ISO14001",,,-,,松下能源（无锡）有限公司(PECW)是日本松下电器产业株式会社旗下的松下能源社在海外的重要分支，成立于2001年7月20日，座落于江苏省无锡新区长江路40号，占地面积23万平米，投资总额为17999百万日元。至2015年5月份为止，现有员工5000名。公司主要开发和生产镍氢碱蓄电池、锂离子二次电池、锂离子组合电池，是中国目前最大的二次电池生产企业。产品被广泛运用于电动工具、手提电话、电脑、数码相机、数码摄像机等工业、商业以及人们的日常生活中。我们的主要客户有联想、富士、东芝、松下电工、任天堂等，产品销往日本、台湾、欧洲、美国、韩国、日本等世界各地。 松下能源（无锡）有限公司将秉承松下幸之助先生提出的“造物之前先造人”的育人理念，并继续贯彻产业人的本分，谋求社会生活的改善和提高，以期为世界经济的发展作出贡献。,,有；-；-,,,913202147290298010,2001-07-20,600000万人民币,1000,山際勇（YAMAGIWA ISAMU）,,success,
997,电芯,gpt-5.4,web-access,https://i.gasgoo.com/supplier/c-2160.html,http://i.gasgoo.com/supplier/35176739/,https://i.gasgoo.com/supplier/35176739/,https://i.gasgoo.com/supplier/35176739/,深圳市比亚迪锂电池有限公司,,,锂电池电芯；电池PACK；W-BMS业务,-,"IATF 16949, ISO14001",,,-,,深圳市比亚迪锂电池有限公司简介：比亚迪创立于1995年2月，从二次充电电池制造起步，2003年1月进入汽车行业，同时布局新能源产业，并于2016年10月进入轨道交通产业。 比亚迪是全球领先的电子产品制造服务商，能够为客户提供设计、研发、制造、物流和售后等一站式服务。 目前主要业务包括电子产品金属结构件、塑胶结构件、3D玻璃、陶瓷、充电器、锂电池Pack等零部件制造及电子产品整机设计、 测试、组装等业务，其产品覆盖消费电子、 汽车电子、 工业电子、IOT等行业。 其主要客户包括苹果、三星、微软、戴尔、东芝、惠普、华为、联想、中兴等国内外行业巨头。 在汽车领域，比亚迪是目前世界上唯一一家同时掌握电池、电机、电控、充电基础设施以及整车技术的车企， 产品涵盖七大常规领域——私家车、出租车、城市公交、道路客运、城市商品物流、城市建筑物流、 环卫车，以及四大特殊领域——仓储、港口、机场、矿山。 在新能源领域，除了新能源汽车，比亚迪还推出了太阳能电站、储能电站、电动叉车以及LED等多种新能源产品， 可提供从发电、到储电、到用电的一整套新能源解决方案。比亚迪也是全球首个被联合国授予“联合国能源特别奖”的新能源企业。 在轨道交通领域，比亚迪于2016年10月发布了跨座式单轨产品——云轨。云轨是比亚迪历时5年，耗资50亿打造， 专门为解决城市拥堵问题的交通解决方案。云轨属于中小运量轨道交通产品，具有安全性高，经济性好， 实用性强，建设周期短，设计美观等诸多特点，广受市场好评与青睐。 就像自己名字一样——成就梦想，比亚迪的使命就是用技术创新满足人们对美好生活的向往。 查看完整信息,,-,,,91440300708416327M,1998-06-09,616000万人民币,8000,何龙,,success,
