crawl_type,business_entity,model,skill,source_url,page_url,page_title,text_sample,status,error_message,level1_url,level2_url,level3_url,supplier_url
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=广州&nianfen=2024&yuefen=7,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=广州&nianfen=2024&yuefen=7,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=广州&time=lishi&months=jinnianlishi&nianfen=2024,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=广州&time=lishi&months=jinnianlishi&nianfen=2024,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=成都&nianfen=2024&yuefen=4,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=成都&nianfen=2024&yuefen=4,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=成都&nianfen=2024&yuefen=5,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=成都&nianfen=2024&yuefen=5,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=武汉&nianfen=2024&yuefen=12,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=武汉&nianfen=2024&yuefen=12,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=武汉&nianfen=2024&yuefen=8,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=武汉&nianfen=2024&yuefen=8,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=沈阳&nianfen=2024&yuefen=10,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=沈阳&nianfen=2024&yuefen=10,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=沈阳&nianfen=2024&yuefen=10&months=7&time=thisyear,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=沈阳&nianfen=2024&yuefen=10&months=7&time=thisyear,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=沈阳&nianfen=2024&yuefen=11,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=沈阳&nianfen=2024&yuefen=11,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=沈阳&nianfen=2024&yuefen=11&time=nextyear,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=沈阳&nianfen=2024&yuefen=11&time=nextyear,,,
